
traveler_id	first_name	middle_name	last_name	title	gender	date_of_birth	email	phone_number	address	home_address	is_primary	homeAirport	seatPreference	mealPreference	loyaltyProgram
1	Karthik		Ponnuri	Mr.	MALE	1988-09-05	kponnuri@deem.com	[{ "type": "HOME", "number": "9030150333", "countryCode": "91" }, { "type": "MOBILE", "number": "9030150333", "countryCode": "91" }]	{ "city": "Hyderabad", "street1": "Enterpi Software Solutions", "street2": "Knowledge City, Raidurgam", "stateCode": "Telangana", "postalCode": "500089", "countryCode": "IN" }	{ "city": "Hyderabad", "street1": "Enterpi Software Solutions", "street2": "Knowledge City, Raidurgam", "stateCode": "Telangana", "postalCode": "500089", "countryCode": "IN" }	1	LAX	Window	Vegetarian	SkyMiles
2	Aarav		Gupta	Mr.	MALE	1992-05-25	aarav.gupta@example.com	[{ "type": "HOME", "number": "9876543210", "countryCode": "91" }, { "type": "MOBILE", "number": "9876543210", "countryCode": "91" }]	{ "city": "Delhi", "street1": "456 Park Ave", "street2": "Connaught Place", "stateCode": "Delhi", "postalCode": "110001", "countryCode": "IN" }	{ "city": "Delhi", "street1": "456 Park Ave", "street2": "Connaught Place", "stateCode": "Delhi", "postalCode": "110001", "countryCode": "IN" }	1	DEL	Window	Vegetarian	Gold
3	Saanvi		Jain	Ms.	FEMALE	1995-08-15	saanvi.jain@example.com	[{ "type": "HOME", "number": "1112223333", "countryCode": "91" }, { "type": "MOBILE", "number": "1112223333", "countryCode": "91" }]	{ "city": "Bangalore", "street1": "789 Oak St", "street2": "Koramangala", "stateCode": "Karnataka", "postalCode": "560034", "countryCode": "IN" }	{ "city": "Bangalore", "street1": "789 Oak St", "street2": "Koramangala", "stateCode": "Karnataka", "postalCode": "560034", "countryCode": "IN" }	1	BLR	Aisle	Non-Vegetarian	Silver
4	Aryan		Kumar	Mr.	MALE	1998-11-28	aryan.kumar@example.com	[{ "type": "HOME", "number": "4445556666", "countryCode": "91" }, { "type": "MOBILE", "number": "4445556666", "countryCode": "91" }]	{ "city": "Chennai", "street1": "321 Maple St", "street2": "T Nagar", "stateCode": "Tamil Nadu", "postalCode": "600017", "countryCode": "IN" }	{ "city": "Chennai", "street1": "321 Maple St", "street2": "T Nagar", "stateCode": "Tamil Nadu", "postalCode": "600017", "countryCode": "IN" }	1	MAA	Window	Vegetarian	SkyMiles
5	Kiara		Singh	Ms.	FEMALE	2001-02-20	kiara.singh@example.com	[{ "type": "HOME", "number": "7778889999", "countryCode": "91" }, { "type": "MOBILE", "number": "7778889999", "countryCode": "91" }]	{ "city": "Hyderabad", "street1": "901 Pine St", "street2": "Banjara Hills", "stateCode": "Telangana", "postalCode": "500034", "countryCode": "IN" }	{ "city": "Hyderabad", "street1": "901 Pine St", "street2": "Banjara Hills", "stateCode": "Telangana", "postalCode": "500034", "countryCode": "IN" }	1	HYD	Aisle	Non-Vegetarian	None
6	Liam		Brown	Mr.	MALE	1985-06-10	liam.brown@example.com	[{ "type": "HOME", "number": "1234567890", "countryCode": "1" }, { "type": "MOBILE", "number": "1234567890", "countryCode": "1" }]	{ "city": "New York", "street1": "123 Main St", "street2": "Manhattan", "stateCode": "NY", "postalCode": "10001", "countryCode": "US" }	{ "city": "New York", "street1": "123 Main St", "street2": "Manhattan", "stateCode": "NY", "postalCode": "10001", "countryCode": "US" }	1	JFK	Window	Non-Vegetarian	SkyMiles
7	Sophia		Lee	Ms.	FEMALE	1991-03-22	sophia.lee@example.com	[{ "type": "HOME", "number": "9876543210", "countryCode": "1" }, { "type": "MOBILE", "number": "9876543210", "countryCode": "1" }]	{ "city": "Los Angeles", "street1": "456 Park Ave", "street2": "Beverly Hills", "stateCode": "CA", "postalCode": "90210", "countryCode": "US" }	{ "city": "Los Angeles", "street1": "456 Park Ave", "street2": "Beverly Hills", "stateCode": "CA", "postalCode": "90210", "countryCode": "US" }	1	LAX	Aisle	Vegetarian	Silver
8	Oliver		Martin	Mr.	MALE	1982-09-01	oliver.martin@example.com	[{ "type": "HOME", "number": "1112223333", "countryCode": "44" }, { "type": "MOBILE", "number": "1112223333", "countryCode": "44" }]	{ "city": "London", "street1": "789 Oak St", "street2": "Mayfair", "stateCode": "London", "postalCode": "W1J 9HD", "countryCode": "GB" }	{ "city": "London", "street1": "789 Oak St", "street2": "Mayfair", "stateCode": "London", "postalCode": "W1J 9HD", "countryCode": "GB" }	1	LHR	Window	Non-Vegetarian	SkyMiles
9	Ava		Chen	Ms.	FEMALE	1996-11-15	ava.chen@example.com	[{ "type": "HOME", "number": "4445556666", "countryCode": "86" }, { "type": "MOBILE", "number": "4445556666", "countryCode": "86" }]	{ "city": "Shanghai", "street1": "321 Maple St", "street2": "Pudong", "stateCode": "Shanghai", "postalCode": "200120", "countryCode": "CN" }	{ "city": "Shanghai", "street1": "321 Maple St", "street2": "Pudong", "stateCode": "Shanghai", "postalCode": "200120", "countryCode": "CN" }	1	PVG	Aisle	Vegetarian	Gold
10	Rahul		Mehta	Mr.	MALE	1991-04-15	rahul.mehta@gmail.com	[{ "type": "HOME", "number": "1112223333", "countryCode": "91" }, { "type": "MOBILE", "number": "4445556666", "countryCode": "91" }]	{ "city": "Chandigarh", "street1": "123, Sector 17", "street2": "Chandigarh", "stateCode": "Chandigarh", "postalCode": "160017", "countryCode": "						
